Asset1.DynamicState_time,Asset1.DynamicState_R_x,Asset1.DynamicState_R_y,Asset1.DynamicState_R_z,Asset1.DynamicState_V_x,Asset1.DynamicState_V_y,Asset1.DynamicState_V_z,Asset1.DynamicState_psi,Asset1.DynamicState_theta,Asset1.DynamicState_phi,Asset1.DynamicState_p,Asset1.DynamicState_q,Asset1.DynamicState_r,
0,6378633,0,0,0,0,0,0,0,0,0,0,0
0.02,6378633.00133391,-0.0648000088597705,0.0359999961745227,0.133894051631157,8.1528107057544E-07,7.60723918640439E-08,8.61635206937134E-07,2.79169829852039E-06,1.20271270216425E-12,0,0.000279168664471414,8.61631268341538E-05
0.04,6378633.00741463,-0.129600033459165,0.0719999494959677,0.47417988060415,2.37805113415256E-07,7.25480728885522E-07,3.10559530249593E-06,1.006213709861E-05,1.56244582888432E-11,0,0.000447860934869296,0.000138228468237393
0.06,6378633.02030369,-0.194400022333395,0.107999743939252,0.814682529048314,-1.82292476032333E-07,1.17430678739188E-07,5.55253238717133E-06,1.7990216095815E-05,4.99456340050723E-11,0,0.00034491732481495,0.000106456100854443
0.08,6378633.04051726,-0.259199860216453,0.143999281283227,1.2564197303088,-1.25407320821306E-06,1.62575288231105E-07,8.28080161828975E-06,2.68298328531956E-05,1.11086198235393E-10,0,0.000538984346801634,0.000166352090696621
0.1,6378633.07105,-0.323999554389171,0.179998307590214,1.79672319122392,4.04293056124442E-07,1.23011696484122E-06,1.12881116852826E-05,3.65735474585885E-05,2.06423031675462E-10,0,0.000435282149470733,0.000134346669149219
0.12,6378633.11239219,-0.388799057689254,0.215996596992168,2.33731640651621,-9.23996223214702E-07,2.52342239903519E-06,1.45705775311841E-05,4.72088587428314E-05,3.43929404423871E-10,0,0.000628114150355832,0.000193857976157705
0.14,6378633.16462048,-0.453598177281473,0.251993830721753,2.88526091841048,-5.11627018023256E-07,1.93687055285442E-06,1.81232455663253E-05,5.87196663953689E-05,5.3209391710141E-10,0,0.000522805670074499,0.000161359471809918
0.16,6378633.22781104,-0.518396887312217,0.287989752493894,3.43347832791057,-6.25436405821638E-07,5.97685504653904E-07,2.19401202939517E-05,7.10866946931537E-05,7.79821033860679E-10,0,0.000713715213932825,0.000220271169007407
0.18,6378633.3019465,-0.583195078570556,0.323983986844818,3.9773793818281,-1.20488037509305E-06,2.07653849904562E-06,2.60145251559433E-05,8.42882304107572E-05,1.09635137602488E-09,0,0.00060624225831576,0.000187109279054305
